Date,Sales
Jan-14,"$32,541,720 "
Feb-14,"$31,738,572 "
Mar-14,"$34,821,878 "
Apr-14,"$32,686,869 "
May-14,"$31,355,208 "
Jun-14,"$29,950,309 "
Jul-14,"$31,137,623 "
Aug-14,"$33,912,226 "
Sep-14,"$32,721,238 "
Oct-14,"$31,779,216 "
Nov-14,"$28,978,462 "
Dec-14,"$28,660,719 "
Jan-15,"$30,181,833 "
Feb-15,"$29,066,073 "
Mar-15,"$32,820,548 "
Apr-15,"$32,878,517 "
May-15,"$33,609,116 "
Jun-15,"$34,552,396 "
Jul-15,"$40,611,139 "
Aug-15,"$40,819,368 "
Sep-15,"$39,991,813 "
Oct-15,"$36,742,780 "
Nov-15,"$30,770,436 "
Dec-15,"$36,010,893 "
Jan-16,"$32,860,544 "
Feb-16,"$34,019,234 "
Mar-16,"$38,116,173 "
Apr-16,"$38,294,503 "
May-16,"$37,636,295 "
Jun-16,"$38,177,550 "
Jul-16,"$40,129,985 "
Aug-16,"$41,056,948 "
Sep-16,"$39,672,483 "
Oct-16,"$35,940,555 "
Nov-16,"$34,839,439 "
Dec-16,"$34,872,353 "
Jan-17,"$31,712,608 "
Feb-17,"$31,074,413 "
Mar-17,"$37,451,683 "
Apr-17,"$38,049,392 "
May-17,"$36,521,894 "
Jun-17,"$36,125,578 "
Jul-17,"$35,256,994 "
Aug-17,"$36,921,075 "
Sep-17,"$35,518,033 "
Oct-17,"$34,082,247 "
Nov-17,"$31,878,468 "
Dec-17,"$31,924,397 "
Jan-18,"$29,263,308 "
Feb-18,"$26,640,302 "
Mar-18,"$29,238,678 "
Apr-18,"$27,019,073 "
May-18,"$26,225,775 "
Jun-18,"$27,096,966 "
Jul-18,"$27,239,015 "
Aug-18,"$28,323,863 "
Sep-18,"$27,897,573 "
Oct-18,"$27,919,377 "
Nov-18,"$26,062,807 "
Dec-18,"$29,246,755 "
Jan-19,"$25,680,596 "
Feb-19,"$24,082,927 "
Mar-19,"$28,097,865 "
Apr-19,"$27,943,394 "
May-19,"$29,446,360 "
Jun-19,"$29,653,362 "
Jul-19,"$30,389,970 "
Aug-19,"$31,350,310 "
Sep-19,"$28,601,353 "
Oct-19,"$29,229,660 "
Nov-19,"$26,697,731 "
Dec-19,"$27,314,662 "
Jan-20,"$27,471,535 "
Feb-20,"$26,557,708 "
Mar-20,"$32,929,194 "
Apr-20,"$36,485,700 "
May-20,"$42,989,322 "
Jun-20,"$40,770,582 "
Jul-20,"$43,268,565 "
Aug-20,"$42,034,746 "
Sep-20,"$39,941,149 "
Oct-20,"$38,788,945 "
Nov-20,"$34,650,013 "
